pos, Run #2
Time ( s )	pos ( m )
3.3493	-7.884E-3
3.3657	-0.011
3.3820	-0.013
3.3984	-0.015
3.4148	-0.015
3.4312	-0.015
3.4476	-0.014
3.4640	-0.013
3.4805	-0.011
3.4969	-7.884E-3
3.5133	-4.616E-3
3.5297	-1.004E-3
3.5461	2.608E-3
3.5625	5.532E-3
3.5790	8.800E-3
3.5954	0.011
3.6118	0.014
3.6282	0.015
3.6446	0.015
3.6610	0.015
3.6774	0.014
3.6938	0.012
3.7102	0.010
3.7266	7.080E-3
3.7429	3.468E-3
3.7593	2.000E-4
3.7757	-3.240E-3
3.7921	-6.508E-3
3.8085	-9.260E-3
3.8248	-0.012
3.8412	-0.014
3.8576	-0.015
3.8740	-0.015
3.8904	-0.014
3.9068	-0.014
3.9232	-0.011
3.9397	-8.744E-3
3.9561	-5.648E-3
3.9725	-2.208E-3
3.9889	1.232E-3
4.0053	4.328E-3
4.0218	7.768E-3
4.0382	0.011
4.0546	0.013
4.0710	0.015
4.0874	0.015
4.1038	0.015
4.1202	0.015
4.1366	0.013
4.1530	0.011
4.1694	8.456E-3
4.1857	5.016E-3
4.2021	1.576E-3
4.2185	-1.692E-3
4.2349	-5.132E-3
4.2513	-8.056E-3
4.2677	-0.011
4.2840	-0.013
4.3004	-0.015
4.3168	-0.015
4.3332	-0.015
4.3496	-0.014
4.3660	-0.013
4.3825	-0.010
4.3989	-7.196E-3
4.4153	-3.928E-3
4.4317	-4.880E-4
4.4481	2.780E-3
4.4646	6.048E-3
4.4810	9.144E-3
4.4974	0.012
4.5138	0.014
4.5302	0.015
4.5466	0.015
4.5630	0.015
4.5794	0.014
4.5958	0.012
4.6122	9.488E-3
4.6286	6.220E-3
4.6449	2.952E-3
4.6613	-3.160E-4
4.6777	-3.756E-3
4.6941	-6.852E-3
4.7105	-9.776E-3
4.7268	-0.012
4.7432	-0.014
4.7596	-0.015
4.7760	-0.015
4.7924	-0.014
4.8088	-0.013
4.8253	-0.011
4.8417	-8.400E-3
4.8581	-5.304E-3
4.8745	-1.864E-3
4.8909	1.232E-3
4.9073	4.844E-3
4.9238	7.940E-3
4.9402	0.011
4.9566	0.013
4.9730	0.015
4.9894	0.015
5.0058	0.015
