pos, Run #2
Time ( s )	pos ( m )
0.0202	0.014
0.0366	0.015
0.0530	0.015
0.0694	0.015
0.0858	0.013
0.1022	0.012
0.1186	9.144E-3
0.1350	6.392E-3
0.1513	2.780E-3
0.1677	-4.880E-4
0.1841	-3.756E-3
0.2005	-6.852E-3
0.2169	-9.604E-3
0.2332	-0.012
0.2496	-0.014
0.2660	-0.015
0.2824	-0.015
0.2988	-0.014
0.3152	-0.012
0.3317	-0.011
0.3481	-7.884E-3
0.3645	-4.788E-3
0.3809	-1.348E-3
0.3973	2.092E-3
0.4137	5.188E-3
0.4302	8.284E-3
0.4466	0.011
0.4630	0.013
0.4794	0.014
0.4958	0.015
0.5122	0.015
0.5286	0.014
0.5450	0.012
0.5614	0.010
0.5778	7.252E-3
0.5941	3.812E-3
0.6105	3.720E-4
0.6269	-3.068E-3
0.6433	-6.164E-3
0.6597	-9.088E-3
0.6760	-0.012
0.6924	-0.014
0.7088	-0.015
0.7252	-0.015
0.7416	-0.015
0.7580	-0.014
0.7744	-0.012
0.7909	-9.604E-3
0.8073	-6.508E-3
0.8237	-3.068E-3
0.8401	3.720E-4
0.8565	3.984E-3
0.8730	6.908E-3
0.8894	9.832E-3
0.9058	0.012
0.9222	0.014
0.9386	0.015
0.9550	0.015
0.9714	0.014
0.9878	0.013
1.0042	0.011
1.0206	8.628E-3
1.0369	5.532E-3
1.0533	1.748E-3
1.0697	-1.520E-3
1.0861	-4.788E-3
1.1025	-7.712E-3
1.1189	-0.010
1.1352	-0.013
1.1516	-0.014
1.1680	-0.015
1.1844	-0.015
1.2008	-0.014
1.2172	-0.012
1.2337	-0.010
1.2501	-7.196E-3
1.2665	-4.100E-3
1.2829	-4.880E-4
1.2993	2.952E-3
1.3157	5.876E-3
1.3322	8.972E-3
1.3486	0.012
1.3650	0.014
1.3814	0.015
1.3978	0.015
1.4142	0.015
1.4306	0.014
1.4470	0.012
1.4634	9.488E-3
1.4798	6.564E-3
1.4961	2.952E-3
1.5125	-4.880E-4
1.5289	-3.756E-3
1.5453	-7.024E-3
1.5617	-9.776E-3
1.5780	-0.013
1.5944	-0.014
1.6108	-0.015
1.6272	-0.015
1.6436	-0.015
1.6600	-0.013
1.6764	-0.012
1.6929	-8.916E-3
1.7093	-5.820E-3
1.7257	-2.380E-3
1.7421	1.232E-3
1.7585	4.328E-3
1.7750	7.596E-3
1.7914	0.010
1.8078	0.013
1.8242	0.014
1.8406	0.015
1.8570	0.015
1.8734	0.014
1.8898	0.013
1.9062	0.011
1.9226	7.940E-3
1.9389	4.500E-3
1.9553	1.232E-3
1.9717	-2.208E-3
1.9881	-5.476E-3
2.0045	-8.400E-3
2.0209	-0.011
2.0372	-0.013
2.0536	-0.015
2.0700	-0.015
2.0864	-0.015
2.1028	-0.014
2.1192	-0.012
2.1357	-9.604E-3
2.1521	-6.680E-3
2.1685	-3.412E-3
2.1849	2.000E-4
2.2013	3.640E-3
2.2178	6.564E-3
2.2342	9.488E-3
2.2506	0.012
2.2670	0.014
2.2834	0.015
2.2998	0.015
2.3162	0.015
2.3326	0.013
2.3490	0.012
2.3654	9.144E-3
2.3818	6.048E-3
2.3981	2.436E-3
2.4145	-1.004E-3
2.4309	-4.444E-3
2.4473	-7.540E-3
2.4637	-0.010
2.4800	-0.013
2.4964	-0.015
2.5128	-0.015
2.5292	-0.015
2.5456	-0.015
2.5620	-0.013
2.5785	-0.011
2.5949	-8.572E-3
2.6113	-5.304E-3
2.6277	-1.864E-3
2.6441	1.748E-3
2.6605	4.844E-3
2.6770	8.112E-3
2.6934	0.011
2.7098	0.013
2.7262	0.014
2.7426	0.015
2.7590	0.015
2.7754	0.014
2.7918	0.012
2.8082	0.010
2.8246	7.424E-3
2.8409	3.812E-3
2.8573	5.440E-4
2.8737	-2.896E-3
2.8901	-6.164E-3
2.9065	-9.088E-3
2.9228	-0.012
2.9392	-0.014
2.9556	-0.015
2.9720	-0.015
2.9884	-0.015
3.0048	-0.014
3.0212	-0.012
3.0377	-9.604E-3
3.0541	-6.336E-3
3.0705	-2.896E-3
3.0869	5.440E-4
3.1033	3.812E-3
3.1198	7.080E-3
3.1362	0.010
3.1526	0.012
3.1690	0.014
3.1854	0.015
3.2018	0.015
3.2182	0.015
3.2346	0.013
3.2510	0.011
3.2674	8.628E-3
3.2837	5.188E-3
3.3001	1.920E-3
3.3165	-1.520E-3
3.3329	-4.788E-3
